,bid_prc1,bid_vol1,ask_prc1,ask_vol1,bid_prc2,bid_vol2,ask_prc2,ask_vol2,bid_prc3,bid_vol3,ask_prc3,ask_vol3,bid_prc4,bid_vol4,ask_prc4,ask_vol4,bid_prc5,bid_vol5,ask_prc5,ask_vol5,bid_prc6,bid_vol6,ask_prc6,ask_vol6,bid_prc7,bid_vol7,ask_prc7,ask_vol7,bid_prc8,bid_vol8,ask_prc8,ask_vol8,bid_prc9,bid_vol9,ask_prc9,ask_vol9,bid_prc10,bid_vol10,ask_prc10,ask_vol10,bid_prc11,bid_vol11,ask_prc11,ask_vol11,bid_prc12,bid_vol12,ask_prc12,ask_vol12,bid_prc13,bid_vol13,ask_prc13,ask_vol13,bid_prc14,bid_vol14,ask_prc14,ask_vol14,bid_prc15,bid_vol15,ask_prc15,ask_vol15,bid_prc16,bid_vol16,ask_prc16,ask_vol16,bid_prc17,bid_vol17,ask_prc17,ask_vol17,bid_prc18,bid_vol18,ask_prc18,ask_vol18,bid_prc19,bid_vol19,ask_prc19,ask_vol19,bid_prc20,bid_vol20,ask_prc20,ask_vol20,date
0,59219.25,0.03628,59224.01,0.06645056,59219.0,0.08577,59225.39,0.00018759,59217.53,0.00350371,59226.09,0.04227059,59217.52,0.07286714,59228.51,0.05564388,59217.49,0.05910415,59228.52,0.08273041,59217.42,0.02776057,59228.57,9.24e-06,59217.27,0.20264012,59229.62,0.16909263,59217.26,0.01999246,59229.67,0.04157403,59217.19,0.00709885,59229.69,0.05963981,59216.91,0.33773344,59229.97,0.10658604,59216.09,0.33773344,59229.98,0.28182091,59215.36,0.0006601,59230.66,0.01,59212.64,0.0639517,59231.87,0.01,59212.63,0.10658604,59231.88,0.11830309,59211.11,0.04319933,59232.02,0.11830309,59210.94,0.07287772,59232.06,0.11830309,59210.78,0.00066777,59232.13,0.06898469,59210.19,0.15902539,59233.17,0.03,59210.18,0.26504216,59233.3,0.06170162,59210.17,0.03,59233.8,0.03,2024-07-13 23:59:33.800928
1,59217.19,0.00019504,59222.56,0.00821727,59216.11,0.04666964,59222.71,0.09941594,59216.1,0.08078717,59222.72,0.165,59215.36,0.0006601,59223.63,0.00069319,59211.11,0.04319933,59223.8,0.10658604,59210.94,0.07287772,59224.01,0.06593065,59210.78,0.00066777,59225.39,0.00018759,59210.25,0.26504216,59226.05,0.04964039,59210.24,0.38190039,59226.06,0.08273385,59210.23,0.33773344,59226.09,0.04227059,59209.95,0.00325042,59226.99,0.06395164,59209.34,0.33773344,59227.0,0.10658604,59208.63,0.01,59228.57,9.24e-06,59208.62,0.20264047,59229.62,0.16909263,59208.61,0.33773401,59229.67,0.04157403,59208.25,0.03,59229.69,0.05963981,59208.1,0.04311068,59229.97,0.10658604,59207.63,0.03,59229.98,0.28182091,59206.01,0.24255772,59230.66,0.01,59205.99,0.03,59230.82,0.06,2024-07-13 23:59:33.996413
2,59217.19,0.00019504,59222.39,0.00447086,59216.13,0.04666964,59222.55,0.08168284,59216.11,0.04666964,59222.56,0.126,59216.1,0.08078717,59223.8,0.10658604,59215.36,0.0006601,59225.39,0.00018759,59211.11,0.04319933,59226.05,0.04964038,59210.94,0.07287772,59226.06,0.08273385,59210.78,0.00066777,59226.09,0.04227059,59210.25,0.26504216,59226.99,0.0639517,59210.24,0.38190036,59227.0,0.10658604,59210.23,0.33773344,59228.57,9.24e-06,59209.95,0.00325042,59229.23,0.06,59209.34,0.33773344,59229.62,0.16909263,59208.63,0.01,59229.67,0.04157403,59208.62,0.20264047,59229.69,0.05963981,59208.61,0.33773401,59229.97,0.10658604,59208.25,0.03,59229.98,0.28182091,59208.1,0.04311068,59230.66,0.01,59207.63,0.03,59230.82,0.06,59205.99,0.03,59231.5,0.03,2024-07-13 23:59:34.111230
3,59217.19,0.00019504,59222.32,0.00703006,59216.11,0.04666964,59222.55,0.0007365,59216.1,0.08078717,59223.79,0.06395166,59215.36,0.0006601,59223.8,0.10658604,59211.11,0.04319933,59225.39,0.00018759,59210.94,0.07287772,59226.06,0.08273385,59210.78,0.00066777,59226.09,0.04227059,59210.25,0.26504216,59227.0,0.10658604,59210.24,0.38190036,59228.57,9.24e-06,59210.23,0.33773344,59229.22,0.03600007,59209.95,0.00325042,59229.23,0.06,59209.34,0.33773344,59229.62,0.16909263,59208.63,0.01,59229.67,0.04157403,59208.62,0.20264047,59229.69,0.05963981,59208.61,0.33773401,59229.97,0.10658604,59208.25,0.03,59229.98,0.28182091,59208.1,0.04311068,59230.66,0.01,59207.63,0.03,59231.5,0.03,59205.99,0.03,59231.88,0.11830309,59205.37,0.12700531,59232.02,0.11830309,2024-07-13 23:59:34.227117
4,59217.19,0.00019504,59222.32,0.0007365,59216.11,0.04666964,59223.73,0.00671674,59216.1,0.08078717,59223.79,0.06395166,59215.36,0.0006601,59223.8,0.10658604,59211.11,0.04319933,59225.38,0.01,59210.94,0.07287772,59225.39,0.00018759,59210.78,0.00066777,59226.06,0.08273385,59210.25,0.26504216,59226.09,0.04227059,59210.24,0.38190036,59227.0,0.10658604,59210.23,0.33773344,59228.57,9.24e-06,59209.95,0.00325042,59229.22,0.03600007,59209.34,0.33773344,59229.23,0.06,59208.63,0.11658604,59229.62,0.16909263,59208.62,0.20264047,59229.67,0.04157403,59208.61,0.33773401,59229.69,0.05963981,59208.25,0.03,59229.97,0.10658604,59208.1,0.04311068,59229.98,0.28182091,59207.63,0.03,59230.66,0.01,59205.99,0.03,59231.49,0.03,59205.37,0.12700531,59231.5,0.03,2024-07-13 23:59:34.322355
5,59217.2,0.08078717,59223.73,0.00671674,59217.19,0.00019504,59223.79,0.06395166,59216.11,0.04666964,59223.8,0.10658604,59215.36,0.0006601,59225.38,0.01,59211.11,0.04319933,59225.39,0.00018759,59210.94,0.07287772,59226.06,0.08273385,59210.78,0.00066777,59226.09,0.04227059,59210.25,0.26504216,59227.0,0.10658604,59210.24,0.38190036,59228.57,9.24e-06,59210.23,0.33773344,59229.22,0.03600007,59209.95,0.00325042,59229.23,0.06,59209.34,0.33773344,59229.62,0.16909263,59208.63,0.11658604,59229.67,0.04157403,59208.62,0.20264047,59229.69,0.05963981,59208.61,0.33773401,59229.97,0.10658604,59208.25,0.03,59229.98,0.28182091,59208.1,0.04311068,59230.66,0.01,59207.63,0.03,59231.49,0.03,59205.99,0.03,59231.5,0.03,59205.37,0.12700531,59231.88,0.11830309,2024-07-13 23:59:34.390643
6,59217.2,0.08078717,59223.73,0.00745322,59217.19,0.00019504,59223.79,0.06395166,59216.11,0.04666964,59223.8,0.10658604,59215.36,0.0006601,59225.38,0.01,59211.11,0.04319933,59225.39,0.00018759,59210.94,0.07287772,59226.06,0.08273385,59210.78,0.00066777,59226.09,0.04227059,59210.25,0.26504216,59227.0,0.10658604,59210.24,0.38190036,59228.57,9.24e-06,59210.23,0.33773344,59229.22,0.03600007,59209.95,0.00325042,59229.23,0.06,59209.34,0.33773344,59229.62,0.16909263,59208.63,0.11658604,59229.67,0.04157403,59208.62,0.20264047,59229.69,0.05963981,59208.61,0.33773401,59229.97,0.10658604,59208.25,0.03,59229.98,0.28182091,59208.1,0.04311068,59230.66,0.01,59207.63,0.03,59231.49,0.03,59205.99,0.03,59231.5,0.03,59205.37,0.12700531,59231.88,0.11830309,2024-07-13 23:59:34.419554
7,59217.2,0.08078717,59223.73,0.00745322,59217.19,0.00019504,59223.79,0.06395166,59216.11,0.04666964,59223.8,0.10658604,59215.36,0.0006601,59225.38,0.01,59211.11,0.04319933,59225.39,0.00018759,59210.94,0.07287772,59226.06,0.08273385,59210.78,0.00066777,59226.09,0.04227059,59210.25,0.26504216,59227.0,0.10658604,59210.24,0.38190036,59228.57,9.24e-06,59210.23,0.33773344,59229.22,0.03600007,59209.95,0.00325042,59229.23,0.06,59209.34,0.33773344,59229.62,0.16909263,59208.63,0.11658604,59229.67,0.04157403,59208.62,0.20264047,59229.69,0.05963981,59208.61,0.33773401,59229.97,0.10658604,59208.25,0.03,59229.98,0.28182091,59208.1,0.04311068,59230.66,0.01,59207.63,0.03,59231.49,0.03,59205.99,0.03,59231.5,0.03,59205.37,0.12700531,59231.88,0.11830309,2024-07-13 23:59:34.561644
8,59217.2,0.08078717,59223.56,0.00574358,59217.19,0.00019504,59223.73,0.00073648,59216.11,0.04666964,59223.8,0.10658604,59215.36,0.0006601,59225.38,0.01,59211.11,0.04319933,59225.39,0.00018759,59210.94,0.07287772,59226.05,0.07500267,59210.78,0.00066777,59226.06,0.08273385,59210.25,0.26504216,59226.09,0.04227059,59210.24,0.38190036,59227.0,0.10658604,59210.23,0.33773344,59228.57,9.24e-06,59209.95,0.00325042,59229.22,0.03600007,59209.34,0.33773344,59229.23,0.06,59208.63,0.11658604,59229.62,0.16909263,59208.62,0.20264047,59229.67,0.04157403,59208.61,0.33773401,59229.69,0.05963981,59208.25,0.03,59229.97,0.10658604,59208.1,0.04311068,59229.98,0.28182091,59207.63,0.03,59230.66,0.01,59205.99,0.03,59231.49,0.03,59205.37,0.12700531,59231.5,0.03,2024-07-13 23:59:34.613556
9,59217.2,0.08078717,59223.56,0.00574358,59217.19,0.00019504,59223.8,0.10658604,59216.11,0.04666964,59225.38,0.01,59215.36,0.0006601,59225.39,0.00018759,59211.11,0.04319933,59226.05,0.07500267,59210.94,0.07287772,59226.06,0.08273385,59210.78,0.00066777,59226.09,0.04227059,59210.25,0.26504216,59227.0,0.10658604,59210.24,0.38190036,59228.57,9.24e-06,59210.23,0.33773344,59229.22,0.03600007,59209.95,0.00325042,59229.23,0.06,59209.34,0.33773344,59229.62,0.16909263,59208.63,0.11658604,59229.67,0.04157403,59208.62,0.20264047,59229.69,0.05963981,59208.61,0.33773401,59229.97,0.10658604,59208.25,0.03,59229.98,0.28182091,59208.1,0.04311068,59230.66,0.01,59207.63,0.03,59231.49,0.03,59205.99,0.03,59231.5,0.03,59205.37,0.12700531,59231.88,0.11830309,2024-07-13 23:59:34.716280
